"emoji.chars","emoji.descriptions"
"<U+0001F600>","grinning face"
"<U+0001F603>","grinning face with big eyes"
"<U+0001F604>","grinning face with smiling eyes"
"<U+0001F601>","beaming face with smiling eyes"
"<U+0001F606>","grinning squinting face"
"<U+0001F605>","grinning face with sweat"
"<U+0001F923>","rolling on the floor laughing"
"<U+0001F602>","face with tears of joy"
"<U+0001F642>","slightly smiling face"
"<U+0001F643>","upside-down face"
"<U+0001F609>","winking face"
"<U+0001F60A>","smiling face with smiling eyes"
"<U+0001F607>","smiling face with halo"
"<U+0001F970>","smiling face with hearts"
"<U+0001F60D>","smiling face with heart-eyes"
"<U+0001F929>","star-struck"
"<U+0001F618>","face blowing a kiss"
"<U+0001F617>","kissing face"
"<U+263A><U+FE0F>","smiling face"
"<U+263A>","smiling face"
"<U+0001F61A>","kissing face with closed eyes"
"<U+0001F619>","kissing face with smiling eyes"
"<U+0001F60B>","face savoring food"
"<U+0001F61B>","face with tongue"
"<U+0001F61C>","winking face with tongue"
"<U+0001F92A>","zany face"
"<U+0001F61D>","squinting face with tongue"
"<U+0001F911>","money-mouth face"
"<U+0001F917>","hugging face"
"<U+0001F92D>","face with hand over mouth"
"<U+0001F92B>","shushing face"
"<U+0001F914>","thinking face"
"<U+0001F910>","zipper-mouth face"
"<U+0001F928>","face with raised eyebrow"
"<U+0001F610>","neutral face"
"<U+0001F611>","expressionless face"
"<U+0001F636>","face without mouth"
"<U+0001F60F>","smirking face"
"<U+0001F612>","unamused face"
"<U+0001F644>","face with rolling eyes"
"<U+0001F62C>","grimacing face"
"<U+0001F925>","lying face"
"<U+0001F60C>","relieved face"
"<U+0001F614>","pensive face"
"<U+0001F62A>","sleepy face"
"<U+0001F924>","drooling face"
"<U+0001F634>","sleeping face"
"<U+0001F637>","face with medical mask"
"<U+0001F912>","face with thermometer"
"<U+0001F915>","face with head-bandage"
"<U+0001F922>","nauseated face"
"<U+0001F92E>","face vomiting"
"<U+0001F927>","sneezing face"
"<U+0001F975>","hot face"
"<U+0001F976>","cold face"
"<U+0001F974>","woozy face"
"<U+0001F635>","dizzy face"
"<U+0001F92F>","exploding head"
"<U+0001F920>","cowboy hat face"
"<U+0001F973>","partying face"
"<U+0001F60E>","smiling face with sunglasses"
"<U+0001F913>","nerd face"
"<U+0001F9D0>","face with monocle"
"<U+0001F615>","confused face"
"<U+0001F61F>","worried face"
"<U+0001F641>","slightly frowning face"
"<U+2639><U+FE0F>","frowning face"
"<U+2639>","frowning face"
"<U+0001F62E>","face with open mouth"
"<U+0001F62F>","hushed face"
"<U+0001F632>","astonished face"
"<U+0001F633>","flushed face"
"<U+0001F97A>","pleading face"
"<U+0001F626>","frowning face with open mouth"
"<U+0001F627>","anguished face"
"<U+0001F628>","fearful face"
"<U+0001F630>","anxious face with sweat"
"<U+0001F625>","sad but relieved face"
"<U+0001F622>","crying face"
"<U+0001F62D>","loudly crying face"
"<U+0001F631>","face screaming in fear"
"<U+0001F616>","confounded face"
"<U+0001F623>","persevering face"
"<U+0001F61E>","disappointed face"
"<U+0001F613>","downcast face with sweat"
"<U+0001F629>","weary face"
"<U+0001F62B>","tired face"
"<U+0001F971>","yawning face"
"<U+0001F624>","face with steam from nose"
"<U+0001F621>","pouting face"
"<U+0001F620>","angry face"
"<U+0001F92C>","face with symbols on mouth"
"<U+0001F608>","smiling face with horns"
"<U+0001F47F>","angry face with horns"
"<U+0001F480>","skull"
"<U+2620><U+FE0F>","skull and crossbones"
"<U+2620>","skull and crossbones"
"<U+0001F4A9>","pile of poo"
"<U+0001F921>","clown face"
"<U+0001F479>","ogre"
"<U+0001F47A>","goblin"
"<U+0001F47B>","ghost"
"<U+0001F47D>","alien"
"<U+0001F47E>","alien monster"
"<U+0001F916>","robot"
"<U+0001F63A>","grinning cat"
"<U+0001F638>","grinning cat with smiling eyes"
"<U+0001F639>","cat with tears of joy"
"<U+0001F63B>","smiling cat with heart-eyes"
"<U+0001F63C>","cat with wry smile"
"<U+0001F63D>","kissing cat"
"<U+0001F640>","weary cat"
"<U+0001F63F>","crying cat"
"<U+0001F63E>","pouting cat"
"<U+0001F648>","see-no-evil monkey"
"<U+0001F649>","hear-no-evil monkey"
"<U+0001F64A>","speak-no-evil monkey"
"<U+0001F48B>","kiss mark"
"<U+0001F48C>","love letter"
"<U+0001F498>","heart with arrow"
"<U+0001F49D>","heart with ribbon"
"<U+0001F496>","sparkling heart"
"<U+0001F497>","growing heart"
"<U+0001F493>","beating heart"
"<U+0001F49E>","revolving hearts"
"<U+0001F495>","two hearts"
"<U+0001F49F>","heart decoration"
"<U+2763><U+FE0F>","heart exclamation"
"<U+2763>","heart exclamation"
"<U+0001F494>","broken heart"
"<U+2764><U+FE0F>","red heart"
"<U+2764>","red heart"
"<U+0001F9E1>","orange heart"
"<U+0001F49B>","yellow heart"
"<U+0001F49A>","green heart"
"<U+0001F499>","blue heart"
"<U+0001F49C>","purple heart"
"<U+0001F90E>","brown heart"
"<U+0001F5A4>","black heart"
"<U+0001F90D>","white heart"
"<U+0001F4AF>","hundred points"
"<U+0001F4A2>","anger symbol"
"<U+0001F4A5>","collision"
"<U+0001F4AB>","dizzy"
"<U+0001F4A6>","sweat droplets"
"<U+0001F4A8>","dashing away"
"<U+0001F573><U+FE0F>","hole"
"<U+0001F573>","hole"
"<U+0001F4A3>","bomb"
"<U+0001F4AC>","speech balloon"
"<U+0001F441><U+FE0F>","<U+200D><U+0001F5E8><U+FE0F> eye in speech bubble"
"<U+0001F441><U+200D>","<U+0001F5E8><U+FE0F> eye in speech bubble"
"<U+0001F441><U+FE0F>","<U+200D><U+0001F5E8> eye in speech bubble"
"<U+0001F441><U+200D>","<U+0001F5E8> eye in speech bubble"
"<U+0001F5E8><U+FE0F>","left speech bubble"
"<U+0001F5E8>","left speech bubble"
"<U+0001F5EF><U+FE0F>","right anger bubble"
"<U+0001F5EF>","right anger bubble"
"<U+0001F4AD>","thought balloon"
"<U+0001F4A4>","zzz"
"<U+0001F44B>","waving hand"
"<U+0001F44B><U+0001F3FB>","waving hand: light skin tone"
"<U+0001F44B><U+0001F3FC>","waving hand: medium-light skin tone"
"<U+0001F44B><U+0001F3FD>","waving hand: medium skin tone"
"<U+0001F44B><U+0001F3FE>","waving hand: medium-dark skin tone"
"<U+0001F44B><U+0001F3FF>","waving hand: dark skin tone"
"<U+0001F91A>","raised back of hand"
"<U+0001F91A><U+0001F3FB>","raised back of hand: light skin tone"
